daunt,cause to lose courage
daunting,discouraging through fear
dauntless,invulnerable to fear or intimidation
Davis,American statesman
dazed,stunned or confused and slow to react
dazzle,cause to lose clear vision especially from intense light
deal,be in charge of act on or dispose of
dealing,method or manner of conduct in relation to others
dearth,an insufficient quantity or number
death,the permanent end of all life functions in an organism
debacle,a sudden and complete disaster
debase,make impure by adding a foreign or inferior substance
debate,a discussion with reasons for and against some proposal
debilitate,make weak
debilitating,impairing strength and vitality
debris,the remains of something that has been destroyed
debt,the state of owing something especially money
debunk,expose while ridiculing
debut,the act of beginning something new
decade,a period of 10 years
decamp,leave suddenly
decay,the organic phenomenon of rotting
deceit,the quality of being fraudulent
decent,socially or conventionally correct; refined or virtuous
deception,a misleading falsehood
deceptive,designed to mislead either deliberately or inadvertently
deceptively,in a misleading way
decide,reach make or come to a conclusion about something
deciduous,shedding foliage at the end of the growing season
decimal,a number in a system based on ten
decimate,kill in large numbers
decipher,convert code into ordinary language
decision,a position or opinion reached after consideration
decisive,characterized by resoluteness and firmness
declamation,recitation of a speech from memory with studied gestures and intonation as an exercise in elocution or rhetoric
declaration,a statement that is emphatic and explicit
declension,the inflection of nouns and pronouns and adjectives in Indo-European languages
decline,grow worse
deconstruction,a philosophical theory of criticism (usually of literature or film) that seeks to expose deep-seated contradictions in a work by delving below its surface meaning
decorous,characterized by propriety and dignity and good taste
decorum,propriety in manners and conduct
decouple,disconnect or separate
decoy,something used to lure fish or other animals
decrease,a change downward
decree,a legally binding command or decision
decry,express strong disapproval of
deduce,conclude by reasoning
deduce,reason from the general to the particular
deduct,make a subtraction
deduction,the act of removing a part from the whole
deem,judge or regard in a particular way
deep,having great spatial extension downward or inward
deeply,to a great depth;far down
defalcate,appropriate fraudulently to one’s own use
defame,charge falsely or with malicious intent
default,an option that is selected automatically
defeat,an unsuccessful ending to a struggle or contest
defend,protect against a challenge or attack
defendant,someone against whom an action is brought in a court of law
defenestration,the act of throwing someone or something out of a window
defense,the act of guarding someone or something against attack
defensible,capable of being justified or protected
defensive,an attitude of excessive sensitivity to criticism
defensive,intended or appropriate for deterring aggression or attack
deference,courteous regard for people’s feelings
deferential,showing courteous regard for people’s feelings
defiant,boldly resisting authority or an opposing force
deficiency,lack of an adequate quantity or number
deficit,the property of being less than expected or required
defile,make dirty or spotty
define,show the form or outline of
defining,the process of determining the form or meaning of something
definite,precise; explicit and clearly defined
definitely,without question and beyond doubt
definition,a concise explanation of the meaning of a word or phrase
definitive,supplying or being a final or conclusive settlement
deflect,turn from a straight course or fixed direction
deform,assume a different shape
defray,bear the expenses of
defrost,make or become free of frost or ice
deft,skillful in physical movements; especially of the hands
deftly,in an agile manner
defunct,no longer in force or use; inactive
defy,resist or confront with resistance
degenerate,a person whose behavior deviates from what is acceptable
degradation,changing to a lower less respected state
degrade,reduce in worth or character usually verbally
degree,a specific identifiable position in a continuum or series
deification,elevation to the status of a god
deism,the belief in God on the basis of reason alone
delectation,a feeling of extreme pleasure or satisfaction
delegate,a person appointed or elected to represent others
delegation,a group of representatives
deleterious,harmful to living things
deliberate,carefully thought out in advance
deliberately,in a careful unhurried manner
delicate,developed with extreme subtlety
delight,a feeling of extreme pleasure or satisfaction
delimit,set mark or draw the boundaries of something
delineate,represented accurately or precisely
delinquent,a young offender
delirious,experiencing hallucinations
delta,the 4th letter of the Greek alphabet
delude,be dishonest with
deluge,a heavy rain
deluxe,rich and superior in quality
delve,turn up loosen or remove earth
demagogue,a leader who seeks support by appealing to popular passions
demagoguery,impassioned appeals to the emotions of the populace
demand,request urgently and forcefully
demigod,a person who is part mortal and part divine
demimonde,a class of woman not considered respectable because of indiscreet or promiscuous behavior
demise,the time when something ends
democracy,the orientation of those who favor government by the people
democratic,based upon the principles of social equality
demographic,a statistic characterizing human populations
demolish,destroy completely
demonise,make into a demon
demonstrate,give an exhibition of to an interested audience
demur,politely refuse or take exception to
demure,shy or modest often in a playful or provocative way
denationalization,changing something from state to private ownership or control
denigrate,attack the good name and reputation of someone
denizen,a plant or animal naturalized in a region
denominate,assign a name or title to
denomination,identifying word by which someone or something is called
denominator,the divisor of a fraction
denote,have as a meaning
denouement,the outcome of a complex sequence of events
denounce,speak out against
dense,having high compaction or concentration
density,the amount per unit size
denude,make bare or strip of a covering
denunciation,a public act of denouncing
denunciatory,containing warning of punishment
deny,declare untrue; contradict
depart,go away or leave
depend,be contingent upon
dependence,the state of relying on someone or something else
depict,give a description of
deplete,use up as resources or materials
depleted,no longer sufficient
depletion,the state of being used up
deplore,express strong disapproval of
deploy,place troops or weapons in battle formation
deport,expel from a country
deposit,the act of putting something somewhere
deprave,corrupt morally or by intemperance or sensuality
depravity,moral perversion; impairment of virtue and moral principles
deprecate,express strong disapproval of; deplore
depreciate,decline in value
depreciation,a decrease in price or value
depredation,an act of plundering and pillaging and marauding
depress,push down
deprivation,the disadvantage that results from losing something
deprive,take away
deprived,marked by a state of extreme poverty
depth,the extent downward or backward or inward
deracinate,pull up by or as if by the roots
deregulate,lift the authoritative rules on
deride,treat or speak of with contempt
derision,the act of treating with contempt
derisive,expressing contempt or ridicule
derivative,a compound obtained from another compound
derivative,a word that comes from another word
derive,come from
derived,formed or developed from something else; not original
derogatory,expressive of low opinion
descant,a decorative musical accompaniment (often improvised) added above a basic melody
descend,move downward and lower but not necessarily all the way
descendant,a person considered as coming from some ancestor or race
descent,a movement downward
describe,give a statement representing something
description,the act of depicting something
descry,catch sight of
desecrate,violate the sacred character of a place or language
desegregation,incorporation of a formerly excluded group into a community
deserve,be worthy
desiccate,lacking vitality or spirit; lifeless
design,the act of working out the form of something
designate,design or destine
desirable,worth having or seeking or achieving
desire,the feeling that accompanies an unsatisfied state
desired,greatly wanted
desist,stop performing some action
desolate,providing no shelter or sustenance
despair,a state in which all hope is lost or absent
despairing,arising from or marked by despair or loss of hope
desperate,a person who is frightened and in need of help
despise,look down on with disdain or disgust
despised,treated with contempt
despite,contemptuous disregard
despoil,plunder or steal goods
despondent,without or almost without hope
despot,a cruel and oppressive dictator
despotism,dominance through threat of punishment and violence
destabilize,make unsturdy insecure or less able to function smoothly
destined,governed by fate
destitute,poor enough to need help from others
destruct,do away with cause the destruction or undoing of
destruction,an event that completely ruins something
destructive,causing damage
desultory,marked by lack of definite plan purpose or enthusiasm
detached,no longer connected or joined
detail,a small part considered separately from the whole
detailed,developed with careful treatment of particulars
details,true confidential information
detect,discover or determine the existence presence or fact of
detection,the perception or discovery that something has occurred
detective,a police officer who investigates crimes
deter,turn away from by persuasion
detergent,a cleansing agent that differs from soap
deteriorate,become worse or disintegrate
deterioration,process of changing to an inferior state
determinant,a causal element or factor
determination,the act of finding out the properties of something
determine,find out or learn with certainty as by making an inquiry
determined,characterized by great firmness of purpose
determined,having been learned or found especially by investigation
determinism,(philosophy) a philosophical theory holding that all events are inevitable consequences of antecedent sufficient causes; often understood as denying the possibility of free will
deterrence,a negative motivational influence
deterrent,something immaterial that interferes with action or progress
detest,dislike intensely
detonate,cause to burst with a violent release of energy
detonation,the act of setting off an explosive
detour,a roundabout road or route
detract,take away a part from; diminish
detriment,a damage or loss
detrimental,causing harm or injury
deuterium,an isotope of hydrogen which has one neutron
devalue,lower the worth or quality of
develop,progress or evolve through a process of natural growth
development,a process in which something passes to a different stage
developmental,of or relating to or constituting development
deviation,a variation from the standard or norm
device,an instrumentality invented for a particular purpose
devise,arrange by systematic planning and united effort
devoid,completely wanting or lacking
devolution,the process of declining from a higher to a lower level
devolve,pass on or delegate to another
devote,dedicate
devoted,zealous in allegiance or affection
dexterous,skillful in physical movements; especially of the hands
dextral,preferring to use right foot or hand or eye
diabetes,a disease characterized by high glucose levels in the blood
diabetic,someone who has diabetes
diadem,an ornamental jeweled headdress signifying sovereignty
diagnose,subject to a medical analysis
diagonal,having an oblique or slanted direction
dialect,the usage or vocabulary characteristic of a group of people
diameter,the length of a straight line through the center of a circle
diametrically,as from opposite ends of a diameter
diamond,very hard native crystalline carbon valued as a gem
diaphanous,so thin as to transmit light
diaspora,the dispersion of something that was originally localized
diatribe,thunderous verbal attack
dichotomy,a classification into two opposed parts or subclasses
dictate,say out loud for the purpose of recording
diction,the manner in which something is expressed in words
dictum,an authoritative declaration
didactic,instructive especially excessively
die,lose all bodily functions necessary to sustain life
diesel,an internal-combustion engine that burns heavy oil
dietary,a regulated daily food allowance
differ,be dissimilar or unlike
difference,the quality of being unlike or dissimilar
different,unlike in nature quality form or degree
differential,a quality that distinguishes between similar things
difficult,requiring great physical or mental effort to accomplish
difficulty,an effort that is inconvenient
diffidence,lack of self-assurance
diffident,lacking self-confidence
diffuse,spread out; not concentrated in one place
diffusive,spreading by diffusion
dig up,find by digging in the ground
digit,a finger or toe or a corresponding body part
digital,relating to or performed with the fingers
digital audiotape,a digital tape recording of sound
dignity,the quality of being worthy of esteem or respect
digraph,two successive letters
digress,wander from a direct or straight course
digression,a message that departs from the main subject
dilemma,state of uncertainty in a choice between unfavorable options
dilettante,showing frivolous or superficial interest; amateurish
dilettante,an amateur engaging in an activity without serious intention
diligence,conscientiousness in paying proper attention to a task
diligently,in a hard-working manner
dim,lacking in light; not bright or harsh
dimension,a construct distinguishing objects or individuals
dimensional,relating to coordinates that determine a position in space
diminish,decrease in size extent or range
diminution,change toward something smaller or lower
dine,have supper; eat dinner
dinosaur,an extinct terrestrial reptile of the Mesozoic era
Dior,French couturier whose first collection in 1947 created a style that became known as the New Look (1905-1957)
dioxide,an oxide containing two atoms of oxygen in the molecule
dioxin,any of several toxic or carcinogenic hydrocarbons that occur as impurities in herbicides
direct,proceeding without deviation; straight and short
directed,(often used in combination) having a specified direction
direction,a line leading to a place or point
director,someone who controls resources and expenditures
dirge,a song or hymn of mourning as a memorial to a dead person
dirt,the part of the earth’s surface consisting of humus and disintegrated rock
disabuse,free somebody from an erroneous belief
disadvantage,the quality of having an inferior or less favorable position
disagree,be of different opinions
disapproval,an inclination to withhold approval from some person or group
disarm,take away the weapons from; render harmless
disavow,refuse to acknowledge
disband,cause to break up or cease to function
discern,detect with the senses
discernible,perceptible by the senses or intellect
discerning,having or revealing keen insight and good judgment
discharge,remove the unbalanced electricity from
discipline,a system of rules of conduct or method of practice
disclosed,made known (especially something secret or concealed)
disclosure,the act of making something evident
discomfit,cause to lose one’s composure
discord,lack of agreement or harmony
discordant,not in agreement or harmony
discount,an amount or percentage deducted
discourage,try to prevent; show opposition to
discourse,an extended communication dealing with some particular topic
discourteous,showing no politeness
discover,determine the existence presence or fact of
discovery,the act of finding something
discredit,the state of being held in low esteem
discreet,marked by prudence or modesty and wise self-restraint
discrepancy,a difference between conflicting facts or claims or opinions
discrepant,not in agreement
discrete,constituting a separate entity or part
discretion,power of making choices unconstrained by external agencies
discretionary,having the ability to act according to your own judgment
discriminate,marked by the ability to see or make fine distinctions
discriminating,showing or indicating careful judgment and discernment
discrimination,unfair treatment of a person or group based on prejudice
discursive,tending to cover a wide range of subjects
discuss,to consider or examine in speech or writing
discussion,an extended communication dealing with a particular topic
disdain,lack of respect accompanied by a feeling of intense dislike
disdainful,showing arrogant superiority to those one views as unworthy
disease,an impairment of health
disenfranchise,deprive of voting rights
disguise,any attire that conceals the wearer’s identity
disguised,having its true character concealed with the intent of misleading
disheartening,causing someone to lose spirit morale or hope
disinclination,a certain degree of unwillingness
disingenuous,not straightforward or candid
disintegrate,break into parts or components or lose cohesion or unity
disintegration,separation into component parts
disinterested,unaffected by concern for one’s own welfare
disjointed,taken apart at the points of connection
disk,something with a round shape resembling a flat circular plate
dislodge,remove or force from a position previously occupied
dismal,causing dejection
dismantle,take off or remove
dismember,separate the limbs from the body
dismiss,stop associating with
dismissal,the sending away of someone
disobedience,the failure to follow rules or comply
disobey,refuse to go along with; refuse to follow; be disobedient
disorder,a condition in which things are not in their expected places
disorient,cause to be lost or confused
disparage,express a negative opinion of
disparaging,expressive of low opinion
disparate,fundamentally different or distinct in quality or kind
disparity,inequality or difference in some respect
dispassionate,unaffected by strong emotion or prejudice
dispatch,the act of sending off something
dispense,administer or bestow as in small portions
disperse,move away from each other
displace,cause to move usually with force or pressure
display,something intended to communicate a particular impression
disposal,the act or means of getting rid of something
dispose,give sell or transfer to another
disprove,show to be false
disputatious,showing an inclination to disagree
dispute,the act of coming into conflict
disquiet,a feeling of mild anxiety about possible developments
disquieting,causing mental discomfort
disregard,lack of attention and due care
disrupt,make a break in
disruption,an act of delaying or interrupting the continuity
disruptive,characterized by unrest or disorder or insubordination
dissatisfaction,the feeling of being displeased and discontent
dissemble,behave unnaturally or affectedly
disseminate,cause to become widely known
dissent,a difference of opinion
dissertation,a treatise advancing a point of view resulting from research
dissident,a person who objects to some established policy
dissimilar,not alike
dissipate,cause to separate and go in different directions
dissolution,separation into component parts
dissolve,pass into a solution
dissonance,disagreeable sounds
dissonant,harmonically unresolved
dissuade,turn away from by persuasion
distance,the property created by the space between two objects
distant,separated in space or coming from far away
distend,cause to expand as if by internal pressure
distill,undergo condensation
distinct,constituting a separate entity or part
distinction,a discrimination between things as different
distinctive,of a feature that helps to identify a person or thing
distinguish,mark as different
distinguished,standing above others in character or attainment
distort,twist and press out of shape
distortion,a shape resulting from being deformed
distraction,drawing someone’s attention away from something
distress,a state of adversity
distributed,spread out or scattered about or divided up
distribution,the act of spreading or apportioning
district,a region marked off for administrative or other purposes
disturb,move deeply
disturbance,activity that is a malfunction intrusion or interruption
diurnal,having a daily cycle or occurring every day
diva,a distinguished female operatic singer
dive,a headlong plunge into water
diver,someone who works underwater
diverge,move or draw apart
divergence,moving away in different direction from a common point
divergent,tending to move apart in different directions
diverse,distinctly dissimilar or unlike
diversify,vary in order to spread risk or to expand
diversion,a turning aside
diversity,noticeable variety
divert,turn aside; turn away from
divest,take away possessions from someone
divide,a serious disagreement between two groups of people
dividend,a number to be divided by another number
divine,a clergyman or other person in religious orders
divisible,capable of being or liable to be divided or separated
division,the act of partitioning
divisive,causing or characterized by disagreement or disunity
divisor,one of two or more integers that can be exactly divided into another integer
divulge,make known to the public information previously kept secret
do,engage in
docile,easily handled or managed
dock,landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out
doctor,a person who holds Ph.D. degree from an academic institution
doctorate,one of the highest earned degrees conferred by a university
doctrine,a belief accepted as authoritative by some group or school
document,a representation of a person’s thinking with symbolic marks
dodge,a quick evasive movement
doff,remove
dogged,stubbornly unyielding
doggerel,a comic verse of irregular measure
dogmatic,pertaining to a code of beliefs accepted as authoritative
dogwood,a tree of shrub of the genus Cornus often having showy bracts resembling flowers
doleful,filled with or evoking sadness
dollop,a soft lump or portion of something especially food
dolorous,showing sorrow
dolphin,any of various small toothed whales with a beaklike snout
domestic,of or relating to the home
domesticity,the quality of being domestic or domesticated
dominant,most frequent or common
dominate,be in control
domineer,rule or exercise power over in a cruel and autocratic manner
done,having finished or arrived at completion
doodle,an aimless drawing
doom,an unpleasant or disastrous destiny
dope,street names for marijuana
dormant,inactive but capable of becoming active
dosage,a measured portion of medicine taken at any one time
dose,a measured portion of medicine taken at any one time
dose,the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
dossier,papers containing detailed information about a person
dote,shower with love; show excessive affection for
doubt,consider unlikely
doubt,the state of being unsure of something
dough,a flour mixture stiff enough to knead or roll
dove,any of numerous small pigeons
dovetail,a mortise joint formed by interlocking parts
down,spatially or metaphorically from a higher to a lower level
down payment,a partial payment made at the time of purchase
downplay,understate the importance or quality of
downside,a negative aspect of something that is generally positive
downtime,a period of time when something is not operating
doyen,a man who is the senior member of a group
Draconian,imposing a harsh code of laws
drama,a work intended for performance by actors on a stage
dramatic,characteristic of a stage performance
drapery,cloth gracefully draped and arranged in loose folds
drastic,forceful and extreme and rigorous
draw,cause to move by pulling
drawback,a feature that makes something less convenient or acceptable
drawing,a representation of forms or objects on a surface by means of lines
drawn,showing the wearing effects of overwork or care or suffering
dread,fearful expectation or anticipation
dreary,lacking in liveliness or charm or surprise
drilling,the act of drilling
drivel,saliva spilling from the mouth
drizzle,very light rain
drone,make a monotonous low dull sound
drop,let fall to the ground
dropout,someone who quits school before graduation
drought,a shortage of rainfall
drown,kill by submerging in water
drudgery,hard monotonous routine work
drug,a substance that is used as a medicine or narcotic
drumbeat,the sound made by beating a drum
dry out,become dry or drier
duality,a classification into two opposed parts or subclasses
dubious,fraught with uncertainty or doubt
ductile,capable of being shaped or bent or drawn out
due,that which is deserved or owed
dulcet,pleasing to the ear
duly,at the proper time
dummy,a figure representing the human form
dump,a piece of land where waste materials are dumped
dumping,selling goods abroad at a price below that charged in the domestic market
dune,a ridge of sand created by the wind
dung,fecal matter of animals
dupe,fool or hoax
duplicate,a copy that corresponds to an original exactly
duress,compulsory force or threat
dust,fine powdery material such as dry earth or pollen
duty,the social force that obliges you to behave in a certain way
dwarf,a person who is markedly small
dwell,inhabit or live in
dwelling,housing that someone is living in
dwindle,become smaller or lose substance
dye,a usually soluble substance for staining or coloring e.g. fabrics or hair
dynamic,characterized by action or forcefulness of personality
dynamics,mechanics concerned with forces that cause motions of bodies
dyslexia,impaired ability to learn to read
dystopia,state in which the conditions of life are extremely bad
each,(used of count nouns) every one considered individually
eager,having or showing keen interest or intense desire
earlier,more early than; most early
earliest,more early than; most early
earmark,give or assign a resource to a particular person or cause
earnings,something that remunerates
earth,the third planet from the sun
earthquake,vibration from underground movement along a fault plane
ease,freedom from difficulty or hardship or effort
easily,with ease (`easy’ is sometimes used informally for `easily’)
easiness,freedom from difficulty or hardship or effort
easing,the act of reducing something unpleasant
East,the countries of Asia
eastern,lying toward or situated in the east
easy,posing no difficulty; requiring little effort
ebb,the outward flow of the tide
ebullient,joyously unrestrained
eccentric,conspicuously or grossly unconventional or unusual
ecclesiastical,of or associated with a church
echelon,level of authority in a hierarchy
eclat,brilliant or conspicuous success or effect
eclectic,selecting what seems best of various styles or ideas
eclipse,the phenomenon when one celestial body obscures another
eclipse,be greater in significance than
ecological,characterized by the interdependence of living organisms
ecology,the environment as it relates to living organisms
economic,of or relating to production and management of wealth
economical,using the minimum of time or resources for effectiveness
economics,science dealing with the circulation of goods and services
economist,an expert in the circulation of goods and services
economy,the system of production and distribution and consumption
ecosystem,organisms interacting with their physical environment
ecstasy,a state of elated bliss
edacious,devouring or craving food in great quantities
edge,a line determining the limits of an area
edible,suitable for use as food
edify,make understand
edit,prepare for publication or presentation by revising
editor,the person who determines the final content of a text
editorial,an article giving opinions or perspectives
educate,give knowledge acquired by learning and instruction
education,activities that impart knowledge or skill
educational,relating to the process of instruction
eerie,suggestive of the supernatural; mysterious
efface,remove by or as if by rubbing or erasing
effect,a phenomenon that is caused by some previous phenomenon
effective,producing or capable of producing an intended result
effectively,in a manner producing an intended result
effects,property of a personal character that is portable
effete,excessively self-indulgent affected or decadent
efficacious,giving the power to produce an intended result
efficacy,capacity or power to produce a desired result
efficiency,skillfulness in avoiding wasted time and effort
efficient,being effective without wasting time effort or expense
efficiently,in a manner that wastes no time or effort
effigy,a representation of a person
effluent,water mixed with waste matter
effluvium,a foul-smelling outflow or vapor
effort,use of physical or mental energy; hard work
effrontery,audacious behavior that you have no right to
effulgent,radiating or as if radiating light
effusion,an unrestrained expression of emotion
effusive,uttered with unrestrained enthusiasm
egalitarian,favoring social equality
egalitarianism,the doctrine of the equality of mankind
egg,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
eggs,oval reproductive body of a fowl used as food
egocentric,limited to or caring only about yourself and your own needs
egregious,conspicuously and outrageously bad or reprehensible
egress,the act or means of going out
eighteenth,coming next after the seventeenth in position
either,used as an intensive after a negative meaning “likewise”
el,a railway that is powered by electricity and that runs on a track that is raised above the street level
elaborate,marked by complexity and richness of detail
elaborately,with elaboration
elaboration,developing in intricate and painstaking detail
elan,enthusiastic and assured vigor and liveliness
elapse,pass by
elastic,capable of resuming shape after stretching or compression
elation,a feeling of joy and pride
elective,not compulsory
electoral,of or relating to elections
electorate,the body of enfranchised citizens; those qualified to vote
electric,using or providing the flow of charge through a conductor
electrical,relating to or concerned with electricity
electricity,a physical phenomenon that can produce light heat and power
electromagnet,a temporary magnet made by coiling wire around an iron core
electron,an elementary particle with negative charge
electronic,concerned with principles governing behavior of electrons
elegy,a mournful poem; a lament for the dead
element,a substance that cannot be separated into simpler substances
elementary,of or being the essential or basic part
elements,violent or severe weather
elevate,raise from a lower to a higher position
elicit,call forth as an emotion feeling or response
eligible,qualified for or allowed or worthy of being chosen
eliminate,end take out or do away with
elite,a group or class of persons enjoying superior status
elitism,attitude that a high-status group should govern society
Elizabethan,of or relating to Elizabeth I of England or to the age in which she ruled as queen
ellipsis,omission or suppression of parts of words or sentences
elliptic,rounded like an egg
elliptical,rounded like an egg
elongate,make long or longer by pulling and stretching
elongation,the act of lengthening something
eloquence,powerful and effective language
eloquent,expressing yourself readily clearly effectively
elsewhere,in or to another place
elucidate,make clear and comprehensible
elude,escape either physically or mentally
elusive,skillful at evading capture
emanate,give out as breath or an odor
emancipate,free from slavery or servitude
emancipation,freeing someone from the control of another
embalm,preserve a dead body
embargo,a government order imposing a trade barrier
embark,go on board
embark on,get off the ground
embarrassment,the shame felt when inadequacy or guilt is made public
embed,fix or set securely or deeply
embedded,enclosed firmly in a surrounding mass
embellish,make more attractive as by adding ornament or color
emblematic,serving as a visible symbol for something abstract
embodiment,a concrete representation of an otherwise cloudy concept
embody,represent in bodily form
embrace,squeeze tightly in your arms usually with fondness
embryo,an animal organism in the early stages of growth
embryology,the branch of biology that studies the formation and early development of living organisms
emerald,a green transparent form of beryl
emerge,come out into view as from concealment
emergence,the act of coming out into view
emigrate,leave one’s country of residence for a new one
eminence,high status importance owing to marked superiority
eminent,standing above others in quality or position
emissary,someone sent on a mission to represent another’s interests
emission,the act of causing to flow forth
emotion,any strong feeling
emotional,of or pertaining to feelings
empathize,be understanding of
emphasis,intensity or forcefulness of expression
emphasize,stress or single out as important
empire,the domain ruled by a single authoritative sovereign
empirical,derived from experiment and observation rather than theory
empiricism,the doctrine that knowledge derives from experience
employ,put into service
employee,a worker who is hired to perform a job
employer,a person or firm that hires workers
employment,the state of having a job
emulate,strive to equal or match especially by imitating
emulation,effort to equal or surpass another
enable,provide the means to perform some task
enact,order by virtue of superior authority; decree
enamored,marked by foolish or unreasoning fondness
encapsulate,enclose in or as if in a small container
encase,enclose in or as if in a case
encephalitis,inflammation of the brain usually caused by a virus
enclave,an enclosed territory that is culturally distinct
encode,convert information into code
encomium,a formal expression of praise
encompass,include in scope
encounter,come together
encourage,inspire with confidence
encroach,advance beyond the usual limit
encroachment,the act or state of having strong influence
encumber,hold back impede or weigh down
encumbrance,an onerous or difficult concern
end,either extremity of something that has length
end up,finally be or do something
endangered,in imminent threat of extinction
endear,make attractive or lovable
endeavor,attempt by employing effort
endeavour,a purposeful or industrious undertaking
endemic,native to or confined to a certain region
endorse,approve of
endowed,provided or supplied or equipped with
endowment,natural abilities or qualities
endure,undergo or be subjected to
energy,forceful exertion
enervate,weaken mentally or morally
enfeeble,make weak
enforcement,ensuring observance of or obedience to
enfranchise,grant freedom to as from slavery or servitude
enfranchised,endowed with the rights of citizenship especially the right to vote
engage,consume all of one’s attention or time
engaged,having services contracted for
engaged,having one’s attention or mind or energy consumed
engaging,attracting or delighting
engender,call forth
engineer,a person who uses scientific knowledge to solve problems
engineering,applying scientific knowledge to practical problems
England,a division of the United Kingdom
engrave,carve cut or etch into a material or surface
engulf,flow over or cover completely
enhance,increase
enigma,something that baffles understanding and cannot be explained
enigmatic,not clear to the understanding
enjoy,derive or receive pleasure from
enlist,join the military
enlisting,the act of getting recruits; enlisting people for the army
ennoble,give a title to someone
ennui,the feeling of being bored by something tedious
enormity,the quality of being outrageous
enormous,extraordinarily large in size or extent or degree
enough,sufficient for the purpose
enrage,make someone extremely or violently angry
enrich,make better or improve in quality
enrichment,act of making fuller or more meaningful or rewarding
ensconce,fix firmly
ensemble,an assemblage of parts considered as forming a whole
enshrine,enclose in a place of worship
enshroud,cover as if with a shroud
ensue,take place or happen afterward or as a result
ensuing,following immediately and as a result of what went before
ensure,make certain of
entail,have as a logical consequence
entente,an informal alliance between countries
enter,to come or go into
entering,the act of entering
enterprise,a purposeful or industrious undertaking
enthusiasm,a feeling of excitement
entice,provoke someone to do something through persuasion
enticing,highly attractive and able to arouse hope or desire
entire,constituting the full quantity or extent; complete
entity,that which is perceived to have its own distinct existence
entomology,the branch of zoology that studies insects
entourage,the group following and attending to some important person
entrancement,a feeling of delight at being filled with wonder and enchantment
entrant,someone who comes in
entree,the principal dish of a meal
entrench,fix firmly or securely
entrenched,dug in
entrepreneur,someone who organizes a business venture
entrust,put into the care or protection of someone
entry,the act of going in
enumerate,specify individually
enumeration,the act of counting; reciting numbers in ascending order
enunciate,express or state clearly
envelop,enclose or enfold completely with or as if with a covering
enviable,causing desire to have something possessed by another
envious,painfully desirous of another’s advantages
environment,the totality of surrounding conditions
environmental,of or relating to the external conditions or surroundings
envision,imagine conceive of or see in one’s mind
enzyme,a complex protein produced by cells that acts as a catalyst
eon,the longest unit of geological time
ephemeral,anything short-lived as an insect that lives only for a day
epicene,having an ambiguous sexual identity
epicenter,a point on the Earth’s surface directly above an earthquake
epicure,a person devoted to refined sensuous enjoyment
epidemic,a widespread outbreak of an infectious disease
epigram,a witty saying
epilogue,a short speech by an actor at the end of a play
epiphany,an inspiration or divine manifestation
episode,a happening that is distinctive in a series of events
epitaph,an inscription in memory of a buried person
epithet,descriptive word or phrase
epitome,a standard or typical example
epoch,a period marked by distinctive character
epochal,highly significant especially bringing about a new era
equal,having the same quantity value or measure as another
equality,the quality of being the same in quantity value or status
equanimity,steadiness of mind under stress
equation,a mathematical statement that two expressions are the same
equestrian,of or relating to or featuring horseback riding
equidistant,exactly as far from one point as from another
equilateral,having all sides of the same length
equilateral triangle,a three-sided regular polygon
equinox,when the sun crosses the plane of the earth’s equator
equipment,an instrumentality needed for an undertaking
equitable,fair to all parties as dictated by reason and conscience
equivalence,essential comparability and interchangeability
equivalent,being essentially equal to something
equivocal,open to two or more interpretations
equivocate,be deliberately ambiguous or unclear
equivocation,intentional vagueness or ambiguity
era,a period marked by distinctive character
eradicate,destroy completely as if down to the roots
eradication,the complete destruction of every trace of something
ergonomics,the study of the relation of workers to their environments
erode,remove soil or rock
erosion,the process of wearing or grinding something down
err,make a mistake
errant,straying from the right course or from accepted standards
erratic,liable to sudden unpredictable change
erroneous,containing or characterized by mistakes
error,a wrong action attributable to bad judgment or ignorance
ersatz,an artificial or inferior substitute or imitation
erstwhile,belonging to some prior time
erudite,having or showing profound knowledge
erudition,profound scholarly knowledge
erythromycin,an antibiotic (trade name Erythrocin or E-Mycin or Ethril or Ilosone or Pediamycin) obtained from the actinomycete Streptomyces erythreus; effective against many Gram-positive bacteria and some Gram-negative
escalade,an act of scaling by the use of ladders
escalate,increase in extent or intensity
escape,run away from confinement
escape velocity,the minimum velocity needed to escape a gravitational field
escarole,variety of endive having leaves with irregular frilled edges
escarpment,a long steep slope at the edge of a plateau or ridge
eschew,avoid and stay away from deliberately
esoteric,understandable only by an enlightened inner circle
especial,surpassing what is common or usual or expected
espouse,choose and follow a theory idea policy etc.
espy,catch sight of
essay,an analytic or interpretive literary composition
essential,basic and fundamental
essentially,at bottom or by something’s very nature
establish,set up or found
established,brought about or set up or accepted
establishment,the act of forming something
estate,extensive landed property retained by the owner
esthetic,concerning an appreciation of beauty or good taste
estimable,deserving of respect or high regard
estimate,judge tentatively
estrange,remove from customary environment or associations
et al,and others
etched,cut or impressed into a surface
eternal life,life without beginning or end
ethereal,characterized by lightness and insubstantiality
ethereal,of heaven or the spirit
ethical,conforming to accepted standards of social behavior
ethicist,a philosopher who specializes in ethics
ethics,motivation based on ideas of right and wrong
